Step,Firm1 Deposits,Firm1 Loans,Firm2 Deposits,Firm2 Loans,Firm3 Deposits,Firm3 Loans,Household1 Deposits,Household1 Loans,Household2 Deposits,Household2 Loans,Household3 Deposits,Household3 Loans,Bank Deposist,Bank Loans
1,-312.9109345232975,876.9999999999999,-312.9109345232975,876.9999999999999,-312.9109345232975,876.9999999999997,-1.8726432575619318,0.0,-1.8726432575619318,0.0,-1.8726432575619318,0.0,944.3507333425781,2630.9999999999995
2,-861.008992879404,2096.9831320016638,-861.008992879404,2096.9831320016638,-861.0089928794039,2096.9831320016633,-4.985052021228714,0.0,-4.985052021228714,0.0,-4.985052021228714,0.0,2597.9821347018974,6290.949396004991
3,-1186.197899765552,2719.9831320016638,-1186.197899765552,2719.9831320016638,-1186.197899765552,2719.9831320016638,-7.1518103650118405,0.0,-7.1518103650118405,0.0,-7.1518103650118405,0.0,3580.0491303916915,8159.949396004991
4,-1436.6774381276973,2994.132857809353,-1436.6774381276973,2994.1328578093535,-1436.6774381276973,2994.1328578093535,-8.335491010253097,0.0,-8.335491010253097,0.0,-8.335491010253097,0.0,4335.038787413852,8982.39857342806
5,-1545.9165212589187,3000.0,-1545.9165212589187,3000.0,-1545.9165212589191,3000.0,-8.685200302306935,0.0,-8.685200302306935,0.0,-8.685200302306935,0.0,4663.8051646836775,9000.0
6,-1649.220034492135,3000.0,-1649.2200344921353,3000.0,-1649.2200344921357,3000.0,-8.788843237760773,0.0,-8.788843237760773,0.0,-8.788843237760773,0.0,4974.026633189687,9000.0
7,-1746.3339717610233,2999.999999999999,-1746.333971761024,3000.0,-1746.3339717610247,3000.0000000000005,-8.804745142047608,0.0,-8.804745142047608,0.0,-8.804745142047611,0.0,5265.416150709216,9000.0
8,-1837.664683190543,2999.999999999999,-1837.6646831905443,3000.000000000001,-1837.6646831905446,3000.0000000000005,-8.809045137504164,0.0,-8.809045137504164,0.0,-8.809045137504164,0.0,5539.421184984143,9000.0
9,-1923.35459080772,2999.9999999999986,-1923.3545908077206,3000.0,-1923.3545908077206,3000.0,-8.82060244321045,0.0,-8.82060244321045,0.0,-8.82060244321045,0.0,5796.525579752792,8999.999999999998
10,-2002.847377293423,2999.9999999999986,-2002.8473772934235,3000.0,-2002.847377293424,3000.0,-8.813155217435291,0.0,-8.813155217435291,0.0,-8.813155217435291,0.0,6034.981597532577,9000.0
