Step,Firm1 Deposits,Firm1 Loans,Firm2 Deposits,Firm2 Loans,Firm3 Deposits,Firm3 Loans,Household1 Deposits,Household1 Loans,Household2 Deposits,Household2 Loans,Household3 Deposits,Household3 Loans,Bank Deposist,Bank Loans
1,-3872.297022230396,100.0,-3872.297022230396,100.0,-3872.297022230396,100.0,-25.54546283399273,0.0,-25.54546283399273,0.0,-25.54546283399273,0.0,300.0,11693.527455193165
2,-6314.2607195181745,267.30000000000007,-6314.2607195181745,267.30000000000007,-6314.2607195181745,267.30000000000007,-79.44131205027145,0.0,-79.44131205027145,0.0,-79.44131205027145,0.0,801.9000000000002,19181.106094705337
3,-9343.360936167372,552.6880836405664,-9343.360936167372,552.6880836405664,-9343.360936167372,552.6880836405664,-151.56560173444234,0.0,-151.56560173444234,0.0,-151.56560173444234,0.0,1658.0642509216996,28484.779613705447
4,-12879.343267765777,983.5457025190789,-12879.343267765777,983.5457025190789,-12879.343267765777,983.5457025190789,-248.74241751999352,0.0,-248.74241751999352,0.0,-248.74241751999352,0.0,2950.6371075572365,39384.2570558573
5,-16703.166286149266,1565.7130353462276,-16703.166286149273,1565.7130353462276,-16703.166286149273,1565.7130353462276,-371.0356684213883,0.0,-371.0356684213883,0.0,-371.0356684213883,0.0,4697.139106038683,51222.605863711964
6,-20591.467704067014,2282.3796623735057,-20591.467704067018,2282.3796623735057,-20591.467704067018,2282.3796623735057,-512.1693914134809,0.0,-512.1693914134809,0.0,-512.1693914134809,0.0,6847.138987120517,63310.91128644149
7,-24299.863262949453,3092.078583455357,-24299.863262949453,3092.078583455357,-24299.863262949453,3092.078583455357,-664.8351773952708,0.0,-664.8351773952708,0.0,-664.8351773952708,0.0,9276.235750366071,74894.09532103418
8,-27636.24132791921,3936.1195717784426,-27636.24132791921,3936.1195717784426,-27636.24132791921,3936.1195717784426,-815.8358961224632,0.0,-815.8358961224632,0.0,-815.8358961224629,0.0,11808.35871533533,85356.23167212504
9,-30429.33332560428,4748.656259250714,-30429.33332560428,4748.656259250714,-30429.33332560428,4748.656259250714,-954.5415065902231,0.0,-954.5415065902231,0.0,-954.5415065902229,0.0,14245.968777752143,94151.6244965835
10,-32579.395339747978,5469.932891771036,-32579.395339747978,5469.932891771036,-32579.395339747978,5469.932891771036,-1072.6813127065102,0.0,-1072.6813127065102,0.0,-1072.6813127065102,0.0,16409.798675313108,100956.22995736348
11,-34087.79058996668,6054.655227616712,-34087.79058996668,6054.655227616712,-34087.79058996668,6054.655227616712,-1161.8345647927795,0.0,-1161.8345647927795,0.0,-1161.8345647927795,0.0,18163.965682850136,105748.87546427838
12,-34965.619482622176,6477.397469184117,-34965.619482622176,6477.397469184117,-34965.619482622176,6477.397469184117,-1221.6777048645909,0.0,-1221.6777048645913,0.0,-1221.6777048645913,0.0,19432.19240755235,108561.8915624603
13,-35301.69661249493,6736.004666876896,-35301.69661249493,6736.004666876896,-35301.69661249493,6736.004666876896,-1255.3224124867056,0.0,-1255.322412486706,0.0,-1255.322412486706,0.0,20208.01400063069,109671.05707494491
14,-35212.25178390119,6846.01515827926,-35212.25178390119,6846.01515827926,-35212.25178390119,6846.01515827926,-1263.6786761797498,0.0,-1263.6786761797493,0.0,-1263.6786761797498,0.0,20538.045474837778,109427.79138024282
15,-34826.95969534442,6835.63439550367,-34826.95969534442,6835.63439550367,-34826.95969534442,6835.63439550367,-1253.1776175457453,0.0,-1253.1776175457449,0.0,-1253.1776175457453,0.0,20506.90318651101,108240.4119386705
16,-34254.31338106039,6739.464849188182,-34254.31338106039,6739.464849188182,-34254.31338106039,6739.464849188182,-1232.1514237415536,0.0,-1232.1514237415536,0.0,-1232.1514237415536,0.0,20218.394547564545,106459.39441440583
17,-33641.76244523376,6592.72566627929,-33641.76244523376,6592.72566627929,-33641.76244523376,6592.72566627929,-1203.684839625907,0.0,-1203.684839625907,0.0,-1203.684839625907,0.0,19778.176998837866,104536.341854579
18,-33043.16573873205,6425.550833307576,-33043.16573873205,6425.550833307576,-33043.16573873205,6425.550833307576,-1173.2098533419353,0.0,-1173.2098533419353,0.0,-1173.2098533419353,0.0,19276.652499922726,102649.12677622196
19,-32529.678274982478,6263.619003189075,-32529.678274982478,6263.619003189075,-32529.678274982478,6263.619003189075,-1146.5115128133284,0.0,-1146.5115128133284,0.0,-1146.5115128133284,0.0,18790.857009567226,101028.56936338742
20,-32134.786625987996,6123.752599431127,-32134.786625987996,6123.752599431127,-32134.786625987996,6123.752599431127,-1124.1482765058963,0.0,-1124.1482765058963,0.0,-1124.1482765058963,0.0,18371.25779829338,99776.80470748167
21,-31870.56975517985,6015.343424293638,-31870.569755179862,6015.343424293638,-31870.569755179862,6015.343424293638,-1107.9655315593814,0.0,-1107.9655315593814,0.0,-1107.9655315593814,0.0,18046.030272880915,98935.60586021772
22,-31729.61557361351,5941.479512115679,-31729.61557361351,5941.479512115679,-31729.61557361351,5941.479512115679,-1097.9177862980764,0.0,-1097.9177862980764,0.0,-1097.9177862980764,0.0,17824.438536347036,98482.60007973477
23,-31694.184182467834,5900.574885527517,-31694.184182467834,5900.574885527517,-31694.184182467834,5900.574885527517,-1092.7047453312452,0.0,-1092.7047453312452,0.0,-1092.7047453312452,0.0,17701.72465658255,98360.66678339723
24,-31739.21090734008,5887.877630908155,-31739.21090734008,5887.877630908155,-31739.21090734008,5887.877630908155,-1092.1870796002095,0.0,-1092.1870796002095,0.0,-1092.1870796002095,0.0,17663.632892724465,98494.19396082086
25,-31827.330136144756,5896.970673865939,-31827.330136144756,5896.970673865939,-31827.330136144756,5896.970673865939,-1096.606814683174,0.0,-1096.606814683174,0.0,-1096.606814683174,0.0,17690.91202159782,98771.81085248379
26,-31955.943309844013,5920.920319183952,-31955.943309844013,5920.920319183952,-31955.943309844013,5920.920319183952,-1101.9695940896563,0.0,-1101.9695940896563,0.0,-1101.9695940896563,0.0,17762.760957551858,99173.73871180101
27,-32085.720586455427,5952.410883726106,-32085.720586455427,5952.410883726106,-32085.720586455427,5952.410883726106,-1107.280935282125,0.0,-1107.280935282125,0.0,-1107.280935282125,0.0,17857.232651178318,99579.00456521266
28,-32206.89913078976,5986.388689347349,-32206.89913078976,5986.388689347349,-32206.89913078976,5986.388689347349,-1113.1892779356785,0.0,-1113.1892779356785,0.0,-1113.1892779356785,0.0,17959.166068042046,99960.26522617631
29,-32295.32572389565,6018.511930225713,-32295.32572389565,6018.511930225713,-32295.32572389565,6018.511930225713,-1119.1336706189682,0.0,-1119.1336706189682,0.0,-1119.1336706189682,0.0,18055.53579067714,100243.37818354387
30,-32379.523891034194,6045.862031734634,-32379.523891034194,6045.862031734634,-32379.523891034194,6045.862031734634,-1122.8540255598687,0.0,-1122.8540255598687,0.0,-1122.8540255598687,0.0,18137.5860952039,100507.13374978218
31,-32428.077274575233,6065.912773004471,-32428.077274575233,6065.912773004471,-32428.077274575233,6065.912773004471,-1125.3941516164964,0.0,-1125.3941516164964,0.0,-1125.3941516164964,0.0,18197.738319013413,100660.41427857519
32,-32453.664275593088,6079.321216341485,-32453.664275593088,6079.321216341485,-32453.664275593088,6079.321216341485,-1126.6473426109842,0.0,-1126.6473426109842,0.0,-1126.6473426109842,0.0,18237.963649024452,100740.9348546122
33,-32459.45627503774,6086.530172655749,-32459.45627503774,6086.530172655749,-32459.45627503774,6086.530172655749,-1127.6311216315494,0.0,-1127.6311216315494,0.0,-1127.6311216315494,0.0,18259.590517967245,100761.26219000787
34,-32450.156793079892,6088.548749797509,-32450.156793079892,6088.548749797509,-32450.156793079892,6088.548749797509,-1127.7442822110565,0.0,-1127.7442822110565,0.0,-1127.7442822110565,0.0,18265.64624939253,100733.70322587284
35,-32431.16315106033,6086.624906191786,-32431.16315106033,6086.624906191786,-32431.16315106033,6086.624906191786,-1127.528161800341,0.0,-1127.528161800341,0.0,-1127.528161800341,0.0,18259.87471857536,100676.07393858202
36,-32408.143809531495,6082.036333042496,-32408.143809531495,6082.036333042496,-32408.143809531495,6082.036333042496,-1125.8444196742844,0.0,-1125.8444196742844,0.0,-1125.8444196742844,0.0,18246.10899912749,100601.96468761734
37,-32383.66106947815,6075.982614992795,-32383.66106947815,6075.982614992795,-32383.66106947815,6075.982614992795,-1125.5811252826684,0.0,-1125.5811252826684,0.0,-1125.5811252826684,0.0,18227.947844978386,100527.72658428244
38,-32361.10756630022,6069.558186837549,-32361.10756630022,6069.558186837549,-32361.10756630022,6069.558186837549,-1123.7189423399745,0.0,-1123.7189423399745,0.0,-1123.7189423399745,0.0,18208.67456051265,100454.47952592059
