Step,Firm1 Deposits,Firm1 Loans,Firm2 Deposits,Firm2 Loans,Firm3 Deposits,Firm3 Loans,Household1 Deposits,Household1 Loans,Household2 Deposits,Household2 Loans,Household3 Deposits,Household3 Loans,Bank Deposist,Bank Loans
1,-3607.672782981548,100.0,-3607.672782981548,100.0,-3607.672782981548,100.0,-30.0,0.0,-30.0,0.0,-30.0,0.0,300.0,10913.018348944644
2,-6150.191533796594,267.30000000000007,-6150.191533796593,267.30000000000007,-6150.191533796594,267.30000000000007,-42.053604608859956,0.0,-42.053604608859956,0.0,-42.053604608859956,0.0,801.9000000000002,18576.73541521636
3,-9161.620335625308,534.3496238606213,-9161.620335625305,534.3496238606213,-9161.620335625308,534.3496238606213,-43.91582384176576,0.0,-43.91582384176576,0.0,-43.91582384176576,0.0,1603.0488715818638,27616.60847840122
4,-12837.667497744817,947.9139256597058,-12837.667497744813,947.9139256597056,-12837.667497744817,947.9139256597058,-44.174554783480446,0.0,-44.174554783480446,0.0,-44.174554783480446,0.0,2843.7417769791173,38645.526157584885
5,-16998.026613531678,1518.686123571214,-16998.02661353167,1518.6861235712136,-16998.026613531678,1518.686123571214,-44.33457633564254,0.0,-44.33457633564255,0.0,-44.33457633564254,0.0,4556.058370713641,51127.08356960195
6,-21433.747983079018,2241.967748596256,-21433.747983079007,2241.967748596255,-21433.747983079018,2241.967748596256,-44.4689461133039,0.0,-44.4689461133039,0.0,-44.468946113303915,0.0,6725.903245788768,64434.65078757695
7,-25914.740417699155,3091.637092075741,-25914.74041769915,3091.6370920757395,-25914.740417699155,3091.637092075741,-44.46174089559082,0.0,-44.46174089559082,0.0,-44.461740895590836,0.0,9274.911276227222,77877.60647578424
8,-30209.174980498334,4021.910958266376,-30209.17498049833,4021.9109582663737,-30209.174980498334,4021.910958266376,-44.17841146069203,0.0,-44.17841146069203,0.0,-44.17841146069205,0.0,12065.732874799125,90760.06017587706
9,-34126.25763264256,4974.375203924478,-34126.25763264256,4974.375203924477,-34126.25763264256,4974.375203924478,-43.81413252987983,0.0,-43.81413252987983,0.0,-43.814132529879814,0.0,14923.125611773434,102510.21529551734
10,-37537.01098030943,5887.409926862019,-37537.01098030943,5887.409926862019,-37537.01098030943,5887.409926862019,-43.97779832216804,0.0,-43.97779832216804,0.0,-43.97779832216803,0.0,17662.229780586058,112742.9663358948
11,-40298.46241606699,6706.75097086092,-40298.46241606699,6706.75097086092,-40298.46241606699,6706.75097086092,-44.2743913222111,0.0,-44.27439132221109,0.0,-44.27439132221109,0.0,20120.25291258276,121028.21042216763
12,-42381.01684853661,7394.3713160690595,-42381.01684853661,7394.3713160690595,-42381.01684853661,7394.3713160690595,-44.47726022702791,0.0,-44.47726022702791,0.0,-44.47726022702791,0.0,22183.113948207178,127276.4823262909
13,-43799.541347877304,7927.658273786191,-43799.541347877304,7927.658273786191,-43799.541347877304,7927.658273786191,-44.3567698206856,0.0,-44.3567698206856,0.0,-44.3567698206856,0.0,23782.97482135857,131531.69435309398
14,-44662.491865396136,8300.99704178686,-44662.491865396136,8300.99704178686,-44662.491865396136,8300.99704178686,-44.42248836196278,0.0,-44.42248836196276,0.0,-44.42248836196276,0.0,24902.991125360582,134120.7430612743
15,-45027.047407603386,8523.660117958083,-45027.047407603386,8523.660117958083,-45027.047407603386,8523.660117958083,-44.50528456201472,0.0,-44.50528456201471,0.0,-44.50528456201471,0.0,25570.98035387425,135214.65807649624
16,-45033.154683977424,8619.322072372202,-45033.154683977424,8619.322072372202,-45033.154683977424,8619.322072372202,-44.82566501828471,0.0,-44.825665018284695,0.0,-44.825665018284695,0.0,25857.966217116606,135233.94104698717
17,-44728.5214183019,8616.841025350388,-44728.5214183019,8616.841025350388,-44728.5214183019,8616.841025350388,-44.527037956294194,0.0,-44.52703795629418,0.0,-44.52703795629418,0.0,25850.523076051162,134319.1453687746
18,-44339.66256124778,8547.688099984261,-44339.66256124778,8547.688099984261,-44339.66256124778,8547.688099984261,-44.72454635371801,0.0,-44.724546353718,0.0,-44.72454635371801,0.0,25643.064299952784,133153.1613228045
19,-43829.58301015385,8436.80705999968,-43829.58301015385,8436.80705999968,-43829.58301015385,8436.80705999968,-44.48083405058814,0.0,-44.48083405058813,0.0,-44.48083405058814,0.0,25310.421179999044,131622.19153261333
20,-43377.64323802575,8311.086502584956,-43377.64323802575,8311.086502584956,-43377.64323802575,8311.086502584956,-44.649541443246534,0.0,-44.64954144324652,0.0,-44.649541443246534,0.0,24933.25950775487,130266.87833840698
21,-42937.8828644302,8186.250252943781,-42937.8828644302,8186.250252943781,-42937.8828644302,8186.250252943781,-44.53846868355163,0.0,-44.53846868355161,0.0,-44.53846868355163,0.0,24558.750758831342,128947.26399934124
22,-42608.32010391122,8076.896814748432,-42608.32010391122,8076.896814748432,-42608.32010391122,8076.896814748432,-44.630361110868435,0.0,-44.63036111086846,0.0,-44.630361110868435,0.0,24230.690444245294,127958.85139506625
23,-42347.90122393705,7988.258343127147,-42347.90122393705,7988.258343127147,-42347.90122393705,7988.258343127147,-44.550067487406295,0.0,-44.550067487406324,0.0,-44.550067487406295,0.0,23964.775029381442,127177.35387427337
24,-42198.94939605461,7923.9328785376,-42198.94939605461,7923.9328785376,-42198.94939605461,7923.9328785376,-44.67543115431475,0.0,-44.67543115431475,0.0,-44.675431154314765,0.0,23771.7986356128,126730.87448162679
25,-42116.52339731586,7882.209721336971,-42116.52339731586,7882.209721336971,-42116.52339731586,7882.209721336971,-44.78988024795477,0.0,-44.78988024795477,0.0,-44.78988024795477,0.0,23646.62916401091,126483.93983269145
26,-42069.26451436605,7861.265169648841,-42069.26451436605,7861.265169648841,-42069.264514366034,7861.265169648841,-44.43424240221381,0.0,-44.4342424022138,0.0,-44.43424240221381,0.0,23583.79550894652,126341.09627030477
27,-42120.67401852845,7856.757553992885,-42120.67401852845,7856.757553992885,-42120.67401852845,7856.757553992885,-44.55766526781629,0.0,-44.55766526781629,0.0,-44.55766526781629,0.0,23570.272661978655,126495.69505138877
28,-42175.64835646568,7862.033512211508,-42175.64835646568,7862.033512211508,-42175.64835646566,7862.033512211506,-44.715591832278264,0.0,-44.715591832278264,0.0,-44.71559183227828,0.0,23586.100536634523,126661.09184489386
29,-42223.53895772369,7875.700061222778,-42223.53895772369,7875.700061222778,-42223.538957723686,7875.700061222775,-44.51283659682319,0.0,-44.51283659682322,0.0,-44.512836596823206,0.0,23627.10018366833,126804.15538296153
30,-42282.437113414046,7893.934388138231,-42282.437113414046,7893.934388138231,-42282.437113414024,7893.934388138227,-44.13384194554487,0.0,-44.13384194554486,0.0,-44.13384194554489,0.0,23681.80316441469,126979.71286607874
31,-42385.02427844545,7911.906302849747,-42385.024278445446,7911.906302849747,-42385.02427844543,7911.906302849743,-44.4276286790945,0.0,-44.4276286790945,0.0,-44.4276286790945,0.0,23735.71890854924,127288.35572137363
32,-42444.45271503677,7927.128399650014,-42444.45271503677,7927.128399650014,-42444.45271503677,7927.1283996500115,-44.767041321387424,0.0,-44.767041321387424,0.0,-44.76704132138741,0.0,23781.38519895004,127467.65926907447
33,-42456.54830078881,7941.921987358364,-42456.54830078878,7941.921987358363,-42456.54830078878,7941.921987358361,-44.50111121866128,0.0,-44.50111121866129,0.0,-44.50111121866128,0.0,23825.765962075086,127503.14823602236
34,-42502.017155750436,7955.063381469705,-42502.01715575039,7955.063381469701,-42502.0171557504,7955.063381469701,-44.45561350989111,0.0,-44.45561350989111,0.0,-44.455613509891094,0.0,23865.190144409105,127639.4183077809
35,-42521.63825271111,7963.035713689738,-42521.638252711055,7963.035713689732,-42521.638252711076,7963.035713689733,-44.437338005102916,0.0,-44.437338005102916,0.0,-44.437338005102916,0.0,23889.107141069202,127698.22677214854
36,-42521.32814995207,7967.627114746523,-42521.32814995198,7967.627114746514,-42521.32814995201,7967.627114746516,-44.29731411184095,0.0,-44.29731411184095,0.0,-44.29731411184095,0.0,23902.88134423955,127696.87639219158
37,-42504.675846635604,7969.536454135541,-42504.67584663551,7969.536454135528,-42504.67584663553,7969.536454135532,-43.935299708034876,0.0,-43.935299708034876,0.0,-43.93529970803489,0.0,23908.6093624066,127645.83343903074
38,-42492.156526706436,7968.85917909366,-42492.156526706334,7968.8591790936425,-42492.15652670638,7968.859179093647,-43.571809406814765,0.0,-43.571809406814765,0.0,-43.571809406814765,0.0,23906.57753728095,127607.18500833958
39,-42485.00622467892,7965.485967396829,-42485.006224678786,7965.485967396808,-42485.00622467884,7965.485967396815,-43.37621530982072,0.0,-43.376215309820736,0.0,-43.376215309820736,0.0,23896.457902190454,127585.147319966
40,-42470.68107501563,7960.624971054854,-42470.68107501552,7960.624971054832,-42470.68107501555,7960.624971054839,-43.22728173868286,0.0,-43.22728173868286,0.0,-43.22728173868285,0.0,23881.874913164524,127541.72507026274
41,-42469.50146772094,7956.0359926698175,-42469.50146772081,7956.035992669795,-42469.501467720846,7956.035992669802,-43.274755267021504,0.0,-43.274755267021504,0.0,-43.274755267021504,0.0,23868.10797800942,127538.32866896366
42,-42471.437060325086,7952.340711859739,-42471.43706032498,7952.340711859716,-42471.43706032502,7952.340711859723,-43.461491024618525,0.0,-43.46149102461854,0.0,-43.461491024618525,0.0,23857.022135579176,127544.69565404893
43,-42444.84790839717,7950.550270583312,-42444.84790839705,7950.55027058329,-42444.84790839709,7950.550270583297,-43.22620089644498,0.0,-43.226200896444965,0.0,-43.22620089644498,0.0,23851.650811749896,127464.22232788065
44,-42474.993676965285,7950.876482943451,-42474.99367696516,7950.876482943429,-42474.99367696522,7950.876482943437,-43.45687352142164,0.0,-43.45687352142167,0.0,-43.456873521421656,0.0,23852.629448830317,127555.35165145993
45,-42446.76082601602,7950.706209471875,-42446.76082601589,7950.706209471853,-42446.760826015954,7950.70620947186,-43.16409901574205,0.0,-43.16409901574207,0.0,-43.16409901574205,0.0,23852.118628415592,127469.77477509508
46,-42457.01051142656,7952.343974265173,-42457.01051142644,7952.34397426515,-42457.010511426495,7952.34397426516,-42.99879377708335,0.0,-42.99879377708335,0.0,-42.99879377708335,0.0,23857.031922795482,127500.02791561073
47,-42454.45397163103,7952.672200031722,-42454.453971630915,7952.6722000317,-42454.45397163098,7952.672200031712,-42.7891811615841,0.0,-42.78918116158408,0.0,-42.7891811615841,0.0,23858.016600095136,127491.72945837768
48,-42445.32167692155,7952.681774918065,-42445.32167692143,7952.681774918042,-42445.32167692149,7952.6817749180545,-42.459590158291306,0.0,-42.45959015829132,0.0,-42.45959015829132,0.0,23858.045324754163,127463.34380123935
49,-42481.857468807175,7952.289813828647,-42481.85746880706,7952.289813828625,-42481.85746880711,7952.289813828636,-42.7383979445856,0.0,-42.73839794458563,0.0,-42.738397944585614,0.0,23856.86944148591,127573.7876002551
50,-42469.578312547324,7951.131745887746,-42469.5783125472,7951.131745887723,-42469.57831254725,7951.131745887733,-42.76544327980146,0.0,-42.76544327980146,0.0,-42.76544327980146,0.0,23853.395237663204,127537.03126748117
51,-42472.382905745035,7952.403181414571,-42472.382905744904,7952.403181414548,-42472.382905744955,7952.403181414557,-42.739884631177986,0.0,-42.73988463117797,0.0,-42.739884631177986,0.0,23857.209544243677,127545.36837112842
52,-42462.62095848593,7954.036886170799,-42462.62095848581,7954.0368861707775,-42462.62095848586,7954.036886170787,-42.48071502901517,0.0,-42.48071502901519,0.0,-42.48071502901519,0.0,23862.110658512363,127515.30502054463
53,-42499.14166630418,7955.511531051802,-42499.14166630404,7955.511531051779,-42499.141666304095,7955.511531051787,-42.756526339014215,0.0,-42.756526339014215,0.0,-42.75652633901423,0.0,23866.534593155367,127625.69457792935
54,-42505.09595243385,7955.6538258882465,-42505.095952433694,7955.65382588822,-42505.09595243374,7955.653825888229,-43.034469302041245,0.0,-43.034469302041245,0.0,-43.034469302041245,0.0,23866.961477664696,127644.3912652074
55,-42482.265045456435,7957.3510381061305,-42482.26504545626,7957.351038106102,-42482.26504545632,7957.351038106112,-42.822907787537986,0.0,-42.82290778753797,0.0,-42.822907787538,0.0,23872.053114318347,127575.26385973164
56,-42497.59114401845,7959.910471577523,-42497.591144018275,7959.910471577494,-42497.591144018326,7959.910471577503,-42.79947986453969,0.0,-42.799479864539705,0.0,-42.799479864539705,0.0,23879.73141473252,127621.17187164868
57,-42515.08179513795,7960.538252139645,-42515.08179513776,7960.538252139614,-42515.08179513782,7960.538252139623,-43.03553267754221,0.0,-43.03553267754221,0.0,-43.03553267754221,0.0,23881.614756418883,127674.35198344616
58,-42525.92385218942,7960.657217058007,-42525.92385218921,7960.657217057973,-42525.92385218926,7960.657217057982,-43.393809482440176,0.0,-43.393809482440176,0.0,-43.393809482440176,0.0,23881.97165117396,127707.95298501522
