,current_step,losses_from_system_deleveraging ABSA,shock_for_agent ABSA,direct_losses ABSA,total_assets ABSA,systemicness ABSA,total_asset_sales ABSA,equity ABSA,inventory_risky_asset ABSA,debt ABSA,inventory_risky_asset_quantity ABSA,current_step,losses_from_system_deleveraging SBSA,shock_for_agent SBSA,direct_losses SBSA,total_assets SBSA,systemicness SBSA,total_asset_sales SBSA,equity SBSA,inventory_risky_asset SBSA,debt SBSA,inventory_risky_asset_quantity SBSA
0,0,0.0,0.0,0.0,9.2652611e+11,0.0,0.0,57255883000.0,70827737000.0,8.69270227e+11,621595831.322,0,0.0,0.0,0.0,1.213528113e+12,0.0,0.0,86200249000.0,50068401000.0,1.127327864e+12,439408495.327
1,1,0.0,-0.00764444047885,-7082773700.0,8.11911254365e+11,0.0,-1.07532081935e+11,50173109300.0,70827737000.0,7.61738145065e+11,621595831.322,1,0.0,-0.00412585423145,-5006840100.0,1.14304175955e+12,0.0,-65479513351.8,81193408900.0,50068401000.0,1.06184835065e+12,439408495.327
2,1,-10055135857.2,-0.0123845257756,-7082773700.0,6.49197041901e+11,-0.0765426076218,-1.52659076607e+11,40117973442.8,70827737000.0,6.09079068458e+11,621595831.322,1,-13431592132.7,-0.0117507449054,-5006840100.0,9.53951648505e+11,-0.102245171119,-1.7565851891e+11,67761816767.3,50068401000.0,8.86189831738e+11,439408495.327
3,1,-10055135857.2,-0.0123845257756,-7082773700.0,6.49197041901e+11,-0.0765426076218,-1.52659076607e+11,40117973442.8,70827737000.0,6.09079068458e+11,621595831.322,1,-13431592132.7,-0.0117507449054,-5006840100.0,9.53951648505e+11,-0.102245171119,-1.7565851891e+11,67761816767.3,50068401000.0,8.86189831738e+11,439408495.327
4,2,-10055135857.2,-0.0123845257756,-7082773700.0,4.88497967794e+11,-0.0765426076218,-1.52659076607e+11,32077975943.9,70827737000.0,4.56419991851e+11,621595831.322,2,-13431592132.7,-0.0117507449054,-5006840100.0,7.67083487121e+11,-0.102245171119,-1.7565851891e+11,56552174293.6,50068401000.0,7.10531312827e+11,439408495.327
5,2,-11212860133.6,-0.0229537498062,-7082773700.0,3.07049230351e+11,-0.126512931587,-1.70235877309e+11,20865115810.3,70827737000.0,2.86184114541e+11,621595831.322,2,-17413723646.8,-0.0227012104147,-5006840100.0,5.21932882076e+11,-0.19647629616,-2.27736881398e+11,39138450646.9,50068401000.0,4.82794431429e+11,439408495.327
6,2,-11212860133.6,-0.0229537498062,-7082773700.0,3.07049230351e+11,-0.126512931587,-1.70235877309e+11,20865115810.3,70827737000.0,2.86184114541e+11,621595831.322,2,-17413723646.8,-0.0227012104147,-5006840100.0,5.21932882076e+11,-0.19647629616,-2.27736881398e+11,39138450646.9,50068401000.0,4.82794431429e+11,439408495.327
7,3,-11212860133.6,-0.0229537498062,-7082773700.0,1.2976542183e+11,-0.126512931587,-1.70235877309e+11,13817184598.6,70827737000.0,1.15948237232e+11,621595831.322,3,-17413723646.8,-0.0227012104147,-5006840100.0,2.823474925e+11,-0.19647629616,-2.27736881398e+11,27289942468.5,50068401000.0,2.55057550032e+11,439408495.327
8,3,-3590050175.57,-0.0276656918687,-7082773700.0,71670514379.9,-0.0873340082781,-54504857274.9,10227134423.1,70827737000.0,61443379956.8,621595831.322,3,-7802210765.42,-0.0276333630461,-5006840100.0,1.72507878146e+11,-0.189801898651,-1.02037403589e+11,19487731703.1,50068401000.0,1.53020146443e+11,439408495.327
9,3,-3590050175.57,-0.0276656918687,-7082773700.0,71670514379.9,-0.0873340082781,-54504857274.9,10227134423.1,70827737000.0,61443379956.8,621595831.322,3,-7802210765.42,-0.0276333630461,-5006840100.0,1.72507878146e+11,-0.189801898651,-1.02037403589e+11,19487731703.1,50068401000.0,1.53020146443e+11,439408495.327
10,4,-3590050175.57,-0.0276656918687,-7082773700.0,15182842738.1,-0.0873340082781,-54504857274.9,8244320056.17,70827737000.0,6938522681.92,621595831.322,4,-7802210765.42,-0.0276333630461,-5006840100.0,65703501732.0,-0.189801898651,-1.02037403589e+11,14720758878.0,50068401000.0,50982742854.1,439408495.327
11,4,-163207818.139,-0.0107494901287,-7082773700.0,12541781297.1,-0.00710678237193,-2477853622.87,8081112238.03,70827737000.0,4460669059.05,621595831.322,4,-720573749.236,-0.0109670524438,-5006840100.0,55559256067.7,-0.0313769332691,-9423671915.15,14000185128.8,50068401000.0,41559070938.9,439408495.327
12,4,-163207818.139,-0.0107494901287,-7082773700.0,12541781297.1,-0.00710678237193,-2477853622.87,8081112238.03,70827737000.0,4460669059.05,621595831.322,4,-720573749.236,-0.0109670524438,-5006840100.0,55559256067.7,-0.0313769332691,-9423671915.15,14000185128.8,50068401000.0,41559070938.9,439408495.327
13,5,-163207818.139,-0.0107494901287,-7082773700.0,9929109919.96,-0.00710678237193,-2477853622.87,7946294483.78,70827737000.0,1982815436.18,621595831.322,5,-720573749.236,-0.0109670524438,-5006840100.0,45526262877.5,-0.0313769332691,-9423671915.15,13390863853.7,50068401000.0,32135399023.8,439408495.327
14,5,-7938310.5761,-0.000799498710367,-7082773700.0,9800650596.09,-0.000372041602285,-120521013.299,7938356173.2,70827737000.0,1862294422.88,621595831.322,5,-38553303.9428,-0.000846836562152,-5006840100.0,44983509013.9,-0.00180686215723,-504200559.606,13352310549.8,50068401000.0,31631198464.1,439408495.327
15,5,-7938310.5761,-0.000799498710367,-7082773700.0,9800650596.09,-0.000372041602285,-120521013.299,7938356173.2,70827737000.0,1862294422.88,621595831.322,5,-38553303.9428,-0.000846836562152,-5006840100.0,44983509013.9,-0.00180686215723,-504200559.606,13352310549.8,50068401000.0,31631198464.1,439408495.327
16,6,-7938310.5761,-0.000799498710367,-7082773700.0,9672293975.27,-0.000372041602285,-120521013.299,7930520565.69,70827737000.0,1741773409.59,621595831.322,6,-38553303.9428,-0.000846836562152,-5006840100.0,44441214774.2,-0.00180686215723,-504200559.606,13314216869.7,50068401000.0,31126997904.5,439408495.327
17,6,-404927.320233,-4.18646622268e-05,-7082773700.0,9665741360.68,-1.90601235466e-05,-6147687.27918,7930115638.37,70827737000.0,1735625722.31,621595831.322,6,-1978784.54231,-4.45258877904e-05,-5006840100.0,44413357422.3,-9.31423392888e-05,-25878567.3739,13312238085.1,50068401000.0,31101119337.2,439408495.327
18,6,-404927.320233,-4.18646622268e-05,-7082773700.0,9665741360.68,-1.90601235466e-05,-6147687.27918,7930115638.37,70827737000.0,1735625722.31,621595831.322,6,-1978784.54231,-4.45258877904e-05,-5006840100.0,44413357422.3,-9.31423392888e-05,-25878567.3739,13312238085.1,50068401000.0,31101119337.2,439408495.327
19,7,-404927.320233,-4.18646622268e-05,-7082773700.0,9659189020.4,-1.90601235466e-05,-6147687.27918,7929710985.37,70827737000.0,1729478035.03,621595831.322,7,-1978784.54231,-4.45258877904e-05,-5006840100.0,44385501310.7,-9.31423392888e-05,-25878567.3739,13310260540.9,50068401000.0,31075240769.8,439408495.327
20,7,-20727.2390812,-2.14585707324e-06,-7082773700.0,9658853608.09,-9.75860022013e-07,-314685.074741,7929690258.13,70827737000.0,1729163349.95,621595831.322,7,-101325.610875,-2.28285381223e-06,-5006840100.0,44384074847.6,-4.77051538178e-06,-1325137.5234,13310159215.3,50068401000.0,31073915632.3,439408495.327
21,7,-20727.2390812,-2.14585707324e-06,-7082773700.0,9658853608.09,-9.75860022013e-07,-314685.074741,7929690258.13,70827737000.0,1729163349.95,621595831.322,7,-101325.610875,-2.28285381223e-06,-5006840100.0,44384074847.6,-4.77051538178e-06,-1325137.5234,13310159215.3,50068401000.0,31073915632.3,439408495.327
22,8,-20727.2390812,-2.14585707324e-06,-7082773700.0,9658518196.49,-9.75860022013e-07,-314685.074741,7929669531.61,70827737000.0,1728848664.88,621595831.322,8,-101325.610875,-2.28285381223e-06,-5006840100.0,44382648387.7,-4.77051538178e-06,-1325137.5234,13310057893.0,50068401000.0,31072590494.7,439408495.327
23,8,-1061.20222355,-1.09872156573e-07,-7082773700.0,9658501023.91,-4.99630810857e-08,-16111.3836592,7929668470.41,70827737000.0,1728832553.49,621595831.322,8,-5187.81752366,-1.16888417256e-07,-5006840100.0,44382575353.6,-2.4425066386e-07,-67846.3382139,13310052705.2,50068401000.0,31072522648.4,439408495.327
24,8,-1061.20222355,-1.09872156573e-07,-7082773700.0,9658501023.91,-4.99630810857e-08,-16111.3836592,7929668470.41,70827737000.0,1728832553.49,621595831.322,8,-5187.81752366,-1.16888417256e-07,-5006840100.0,44382575353.6,-2.4425066386e-07,-67846.3382139,13310052705.2,50068401000.0,31072522648.4,439408495.327
25,9,-1061.20222355,-1.09872156573e-07,-7082773700.0,9658483851.32,-4.99630810857e-08,-16111.3836592,7929667409.21,70827737000.0,1728816442.11,621595831.322,9,-5187.81752366,-1.16888417256e-07,-5006840100.0,44382502319.4,-2.4425066386e-07,-67846.3382139,13310047517.3,50068401000.0,31072454802.1,439408495.327
26,9,-54.3325601478,-5.625371537e-09,-7082773700.0,9658482972.1,-2.55806447194e-09,-824.88775683,7929667354.88,70827737000.0,1728815617.22,621595831.322,9,-265.611693302,-5.98460382856e-09,-5006840100.0,44382498580.1,-1.25054264721e-08,-3473.67282968,13310047251.7,50068401000.0,31072451328.4,439408495.327
