,current_step,system_debt,system_loss_equity_from_direct_effects,system_assets,system_loss_assets_from_direct_effects,system_loss_equity_from_indirect_effects,system_TAS,system_equity,system_vulnerability,system_loss_assets_from_indirect_effects
0,0,1.996598091e+12,0.0,2.140054223e+12,0.0,0.0,0.0,1.43456132e+11,0.0,0.0
1,1,1.82358649571e+12,0.0,1.95495301391e+12,0.0,0.0,-1.73011595286e+11,1.313665182e+11,0.0,0.0
2,1,1.4952689002e+12,0.0,1.60314869041e+12,0.0,0.0,-3.28317595518e+11,1.0787979021e+11,-0.178787778741,0.0
3,2,1.16695130468e+12,0.0,1.25558145492e+12,0.0,0.0,-3.28317595518e+11,88630150237.5,-0.178787778741,0.0
4,2,7.6897854597e+11,0.0,8.28982112428e+11,0.0,0.0,-3.97972758707e+11,60003566457.2,-0.322989227747,0.0
5,3,3.71005787263e+11,0.0,4.1211291433e+11,0.0,0.0,-3.97972758707e+11,41107127067.2,-0.322989227747,0.0
6,3,2.144635264e+11,0.0,2.44178392526e+11,0.0,0.0,-1.56542260864e+11,29714866126.2,-0.277135906929,0.0
7,4,57921265536.0,0.0,80886344470.1,0.0,0.0,-1.56542260864e+11,22965078934.2,-0.277135906929,0.0
8,4,46019739998.0,0.0,68101037364.7,0.0,0.0,-11901525538.0,22081297366.8,-0.038483715641,0.0
9,5,34118214459.9,0.0,55455372797.4,0.0,0.0,-11901525538.0,21337158337.5,-0.038483715641,0.0
10,5,33493492887.0,0.0,54784159610.0,0.0,0.0,-624721572.905,21290666723.0,-0.00217890375951,0.0
11,6,32868771314.1,0.0,54113508749.5,0.0,0.0,-624721572.905,21244737435.3,-0.00217890375951,0.0
12,6,32836745059.5,0.0,54079098783.0,0.0,0.0,-32026254.6531,21242353723.5,-0.000112202462835,0.0
13,7,32804718804.8,0.0,54044690331.1,0.0,0.0,-32026254.6531,21239971526.3,-0.000112202462835,0.0
14,7,32803078982.2,0.0,54042928455.7,0.0,0.0,-1639822.59814,21239849473.5,-5.74637540379e-06,0.0
15,8,32801439159.6,0.0,54041166584.2,0.0,0.0,-1639822.59814,21239727424.6,-5.74637540379e-06,0.0
16,8,32801355201.9,0.0,54041076377.5,0.0,0.0,-83957.7218731,21239721175.6,-2.94213744946e-07,0.0
17,9,32801271244.2,0.0,54040986170.7,0.0,0.0,-83957.7218731,21239714926.6,-2.94213744946e-07,0.0
18,9,32801266945.6,0.0,54040981552.2,0.0,0.0,-4298.56058651,21239714606.6,-1.5063490944e-08,0.0
