,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock,asset_class,shock
0,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.121868826
1,1,0.00604917,3.45e+11,4.37e+12,-2088070172.0,93356627290.0,4.66e+12,0.161629441,-29301100022.0,2.89e+11,0.838370559,m_14,-0.121868826
2,2,0.000122162,3.45e+11,4.37e+12,-42168176.79,91908204941.0,4.66e+12,0.167136417,-600581263.7,2.87e+11,0.832863583,m_14,-0.121868826
3,3,2.68e-06,3.45e+11,4.37e+12,-923913.1471,91872049780.0,4.66e+12,0.167248805,-13183805.94,2.87e+11,0.832751195,m_14,-0.121868826
4,4,5.93e-08,3.45e+11,4.37e+12,-20465.60317,91871285108.0,4.66e+12,0.167251271,-292099.6482,2.87e+11,0.832748729,m_14,-0.121868826
5,5,1.32e-09,3.45e+11,4.37e+12,-453.9235491,91871268248.0,4.66e+12,0.167251326,-6478.888719,2.87e+11,0.832748674,m_14,-0.121868826
6,6,2.92e-11,3.45e+11,4.37e+12,-10.06948058,91871267875.0,4.66e+12,0.167251327,-143.722975,2.87e+11,0.832748673,m_14,-0.121868826
7,7,6.47e-13,3.45e+11,4.37e+12,-0.223377365,91871267866.0,4.66e+12,0.167251327,-3.188294627,2.87e+11,0.832748673,m_14,-0.121868826
8,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.638407182
9,1,0.392024442,3.45e+11,2.62e+12,-1.35e+11,12999816051.0,2.8e+12,0.474616212,-1.84e+12,1.81e+11,0.525383788,m_14,-0.638407182
10,2,0.121866552,3.45e+11,2.07e+12,-42066250208.0,4598457181.0,2.21e+12,0.600854747,-5.51e+11,1.38e+11,0.399145253,m_14,-0.638407182
11,3,0.029168116,3.45e+11,1.94e+12,-10068334870.0,4343297525.0,2.06e+12,0.631365693,-1.32e+11,1.27e+11,0.368634307,m_14,-0.638407182
12,4,0.006486066,3.45e+11,1.91e+12,-2238878969.0,4280924290.0,2.03e+12,0.63817229,-29278097752.0,1.25e+11,0.36182771,m_14,-0.638407182
13,5,0.001417226,3.45e+11,1.9e+12,-489202169.4,4266968379.0,2.02e+12,0.639660749,-6396541714.0,1.24e+11,0.360339251,m_14,-0.638407182
14,6,0.000308463,3.45e+11,1.9e+12,-106476043.3,4263914326.0,2.02e+12,0.639984774,-1392184047.0,1.24e+11,0.360015226,m_14,-0.638407182
15,7,6.71e-05,3.45e+11,1.9e+12,-23154999.88,4263249377.0,2.02e+12,0.640055242,-302751931.1,1.24e+11,0.359944758,m_14,-0.638407182
16,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.225357031
17,1,0.012795281,3.45e+11,4.34e+12,-4416712389.0,70630472262.0,4.58e+12,0.296483533,-58365745921.0,2.43e+11,0.703516467,m_14,-0.225357031
18,2,0.000444068,3.45e+11,4.34e+12,-153284553.7,68115572865.0,4.58e+12,0.307183178,-2079774732.0,2.39e+11,0.692816822,m_14,-0.225357031
19,3,1.83e-05,3.45e+11,4.34e+12,-6312273.048,68030186596.0,4.58e+12,0.307547448,-92240192.95,2.39e+11,0.692452552,m_14,-0.225357031
20,4,8.36e-07,3.45e+11,4.34e+12,-288555.6286,68026755580.0,4.58e+12,0.307563101,-4329578.526,2.39e+11,0.692436899,m_14,-0.225357031
21,5,3.96e-08,3.45e+11,4.34e+12,-13671.10187,68026599432.0,4.58e+12,0.307563828,-206787.3493,2.39e+11,0.692436172,m_14,-0.225357031
22,6,1.9e-09,3.45e+11,4.34e+12,-654.7657034,68026592044.0,4.58e+12,0.307563863,-9927.41072,2.39e+11,0.692436137,m_14,-0.225357031
23,7,9.11e-11,3.45e+11,4.34e+12,-31.459318,68026591690.0,4.58e+12,0.307563864,-477.3079781,2.39e+11,0.692436136,m_14,-0.225357031
