Step,SBSA total assets,SBSA total equity,SBSA total asset sales,SBSA shock on assets,CITYBANK total assets,CITYBANK total equity,CITYBANK total asset sales,CITYBANK shock on assets,DB total assets,DB total equity,DB total asset sales,DB shock on assets,grindrod total assets,grindrod total equity,grindrod total asset sales,grindrod shock on assets,BoC total assets,BoC total equity,BoC total asset sales,BoC shock on assets,ABSA total assets,ABSA total equity,ABSA total asset sales,ABSA shock on assets,SOCIETE total assets,SOCIETE total equity,SOCIETE total asset sales,SOCIETE shock on assets,HSBC total assets,HSBC total equity,HSBC total asset sales,HSBC shock on assets,JPMORGAN total assets,JPMORGAN total equity,JPMORGAN total asset sales,JPMORGAN shock on assets,CAPITEC total assets,CAPITEC total equity,CAPITEC total asset sales,CAPITEC shock on assets,NEDBANK total assets,NEDBANK total equity,NEDBANK total asset sales,NEDBANK shock on assets,FNB total assets,FNB total equity,FNB total asset sales,FNB shock on assets,CHARTERED total assets,CHARTERED total equity,CHARTERED total asset sales,CHARTERED shock on assets,African Bank total assets,African Bank total equity,African Bank total asset sales,African bank shock on assets,INVESTEC total assets,INVESTEC total equity,INVESTEC total asset sales,INVESTEC shock on assets,ASSETS SOLD ACROSS SYSTEM OF ALL CLASSES
1,597472837059.62,59804090000.00,-345209275941.58,-2.2%,76511403120,5123291030,0,0,22755256000,1433355000,0,0,11183544485,829479699.5,-75723214,-0.000538493,35617590290,4175653200,-22572909.47,-8.41E-05,5.97473E+11,36921609100,-3.08719E+11,-0.02194679,11725793000,666836000,0,0,49805819000,3919312000,0,0,57035796000,3246873000,0,0,61970136000,13056412000,0,0,6.20595E+11,44265135150,-1.74706E+11,-0.016592085,7.72395E+11,59531354798,-1.9153E+11,-0.016322461,38340375933,3681248500,-72001567.73,-0.00019905,57885311000,7466274000,0,0,2.93783E+11,18906774828,-77904007028,-0.014211679,-1098238622078.52
2,590354088851.42,59192095255.47,-8003674422.43,-0.1%,75913824105,5083276456,-557564440.8,-0.000522988,22581867554,1422433251,-162466697.3,-0.000479966,11129026460,825436116,-50474442.04,-0.000361565,35411791105,4151526188,-181672173.5,-0.00067739,5.90354E+11,36481696819,-6678835927,-0.000736288,11674154527,663899363.4,-48701836.14,-0.000250442,49540685048,3898448119,-244270071.1,-0.000418904,56600963102,3222119296,-410079194,-0.000434003,61915393246,13044878316,-43209070.32,-0.000186117,6.14303E+11,43816365305,-5842959810,-0.000723129,7.65706E+11,59015783901,-6173750288,-0.000667496,38193285071,3667125582,-132967942.9,-0.000368356,57750079269,7448831282,-117789013.4,-0.000301332,2.90839E+11,18717296501,-2754734948,-0.000644959,-31527522153.39
3,590161840556.77,59175091689.56,-222372833.69,0.0%,75895367636,5082040590,-17220603.19,-1.63E-05,22576072246,1422068204,-5430260.346,-1.62E-05,11127435222,825318094.4,-1473216.217,-1.06E-05,35405693627,4150811346,-5382635.798,-2.02E-05,5.90162E+11,36469816586,-180368061.9,-2.01E-05,11672521078,663806470.5,-1540556.784,-7.96E-06,49532631981,3897814408,-7419355.843,-1.28E-05,56586376820,3221288944,-13755930.03,-1.47E-05,61913701792,13044521946,-1335083.618,-5.76E-06,6.14129E+11,43803932917,-161869034.5,-2.02E-05,7.65519E+11,59001438823,-171776432.7,-1.87E-05,38188729136,3666688144,-4118497.027,-1.15E-05,57746036956,7448309889,-3520919.152,-9.03E-06,2.90757E+11,18711993142,-77103001.74,-1.82E-05,-878829212.86
4,590156516788.78,59174618671.10,-6186140.94,0.0%,75894846562,5082005698,-486181.5287,-4.60E-07,22575906592,1422057770,-155219.5806,-4.62E-07,11127390887,825314806.1,-41046.91612,-2.96E-07,35405522836,4150791323,-150768.4689,-5.66E-07,5.90157E+11,36469487597,-4994778.835,-5.57E-07,11672475031,663803851.9,-43427.81897,-2.24E-07,49532405789,3897796609,-208393.0732,-3.59E-07,56585959478,3221265186,-393583.6407,-4.20E-07,61913654384,13044511958,-37419.34508,-1.61E-07,6.14124E+11,43803587862,-4492600.481,-5.62E-07,7.65514E+11,59001040105,-4774487.647,-5.21E-07,38188600674,3666675810,-116127.54,-3.23E-07,57745923860,7448295301,-98508.16246,-2.53E-07,2.90754E+11,18711845661,-2144158.576,-5.07E-07,-24441083.50
5,590156368868.68,59174605518.88,-172004.97,0.0%,75894832040,5082004726,-13549.94672,-1.28E-08,22575901966,1422057478,-4334.6515,-1.29E-08,11127389654,825314714.7,-1141.272097,-8.22E-09,35405518082,4150790766,-4196.225063,-1.57E-08,5.90156E+11,36469478456,-138779.1904,-1.55E-08,11672473749,663803779,-1209.538438,-6.25E-09,49532399491,3897796113,-5802.082531,-1.00E-08,56585947822,3221264522,-10993.05121,-1.17E-08,61913653065,13044511680,-1041.029522,-4.49E-09,6.14124E+11,43803578272,-124862.3575,-1.56E-08,7.65514E+11,59001029020,-132733.5517,-1.45E-08,38188597095,3666675466,-3235.41587,-9.00E-09,57745920714,7448294895,-2740.668781,-7.03E-09,2.90754E+11,18711841560,-59611.87405,-1.41E-08,-679536.68
6,590156364756.65,59174605153.22,-4782.11,0.0%,75894831636,5082004699,-376.8604118,-3.56E-10,22575901838,1422057470,-120.5973871,-3.59E-10,11127389620,825314712.1,-31.72927988,-2.28E-10,35405517950,4150790750,-116.6820102,-4.38E-10,5.90156E+11,36469478202,-3857.920727,-4.31E-10,11672473713,663803776.9,-33.63601637,-1.74E-10,49532399316,3897796099,-161.3433983,-2.78E-10,56585947497,3221264504,-305.8540042,-3.26E-10,61913653029,13044511672,-28.94438459,-1.25E-10,6.14124E+11,43803578005,-3471.198339,-4.34E-10,7.65514E+11,59001028712,-3690.192189,-4.03E-10,38188596996,3666675456,-89.98008108,-2.50E-10,57745920626,7448294884,-76.20268373,-1.95E-10,2.90754E+11,18711841446,-1657.309875,-3.92E-10,-18892.40
7,590156364642.33,59174605143.05,-132.95,0.0%,75894831625,5082004698,-10.47801399,-9.91E-12,22575901834,1422057470,-3.35319746,-9.98E-12,11127389619,825314712.1,-0.882126043,-6.35E-12,35405517946,4150790750,-3.244041618,-1.22E-11,5.90156E+11,36469478195,-107.2549339,-1.20E-11,11672473712,663803776.9,-0.935175123,-4.83E-12,49532399311,3897796099,-4.485771698,-7.74E-12,56585947488,3221264503,-8.504276989,-9.07E-12,61913653028,13044511672,-0.804709089,-3.47E-12,6.14124E+11,43803577998,-96.50424291,-1.21E-11,7.65514E+11,59001028704,-102.593371,-1.12E-11,38188596993,3666675456,-2.501729413,-6.96E-12,57745920624,7448294884,-2.118592592,-5.43E-12,2.90754E+11,18711841443,-46.07596221,-1.09E-11,-525.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
