shock,current_step,system_TAS,system_assets,system_equity,system_equity_losses,system_debt,,
-0.1,0,0,2.14E+12,1.43E+11,0,2.00E+12,,
-0.1,1,"-173,000,000,000 ",1.95E+12,1.31E+11,-12089613800,1.82E+12,,
-0.1,2,"-45,964,463,373 ",1.91E+12,1.28E+11,-24179227600,1.78E+12,," 100,000,000,000 "
-0.1,3,-11887353318,1.89E+12,1.27E+11,-36268841400,1.77E+12,,
-0.1,4,-3053385552,1.89E+12,1.27E+11,-48358455200,1.76E+12,,
-0.1,5,-782923369.7,1.89E+12,1.27E+11,-60448069000,1.76E+12,,
-0.1,6,-200660773.7,1.89E+12,1.27E+11,-72537682800,1.76E+12,,
-0.1,7,-51422821.4,1.89E+12,1.27E+11,-84627296600,1.76E+12,,
-0.2,0,0,2.14E+12,1.43E+11,0,2.00E+12,,
-0.2,1,-3.46E+11,1.77E+12,1.19E+11,-24179227600,1.65E+12,,
-0.2,2,-82861835143,1.68E+12,1.13E+11,-48358455200,1.57E+12,,
-0.2,3,-18833848811,1.66E+12,1.12E+11,-72537682800,1.55E+12,,
-0.2,4,-4229035442,1.66E+12,1.12E+11,-96716910400,1.54E+12,,
-0.2,5,-946999615.2,1.66E+12,1.12E+11,-1.21E+11,1.54E+12,,
-0.2,6,-211929090.6,1.66E+12,1.12E+11,-1.45E+11,1.54E+12,,
-0.2,7,-47421077.5,1.66E+12,1.12E+11,-1.69E+11,1.54E+12,,
