shock,total_effect,del_effect
63.0,64.1,15.9
44.0,58.6,12.3
29.7,40.4,1.5
28.5,38.8,1.4
27.0,36.8,1.3
24.2,33.0,1.2
23.9,32.5,1.2
23.4,31.9,1.1
23.3,31.8,1.1
23.1,31.5,1.1
22.4,30.5,1.1
22.4,30.5,1.1
22.1,30.2,1.1
21.9,29.9,1.1
21.5,29.4,1.1
18.0,24.5,0.9
17.5,23.9,0.9
16.9,23.2,0.8
14.0,19.2,0.6
13.0,17.9,0.6
12.3,16.9,0.6
12.3,16.9,0.6
11.9,16.3,0.5
11.7,16.0,0.5
11.4,15.7,0.5
11.2,15.4,0.5
11.1,15.2,0.5
10.7,14.8,0.5
10.6,14.6,0.5
10.6,14.6,0.5
10.5,14.5,0.5
10.5,14.4,0.5
10.4,14.3,0.5
10.4,14.2,0.5
10.3,14.1,0.5
10.1,13.9,0.5
9.8,13.4,0.5
9.1,12.5,0.4
9.0,12.4,0.4
9.0,12.4,0.4
8.8,12.1,0.4
8.7,11.9,0.4
8.3,11.4,0.4
8.2,11.3,0.4
8.1,11.2,0.4
8.0,11.0,0.4
8.0,10.9,0.4
7.9,10.8,0.4
7.9,10.8,0.4
7.7,10.6,0.4
7.6,10.5,0.4
7.5,10.4,0.4
7.5,10.3,0.3
7.3,10.1,0.3
7.3,10.1,0.3
7.2,9.9,0.3
7.0,9.6,0.3
7.0,9.6,0.3
6.4,8.9,0.3
6.3,8.7,0.3
6.3,8.7,0.3
6.0,8.3,0.3
6.0,8.2,0.3
5.7,7.8,0.3
5.6,7.7,0.3
5.5,7.6,0.3
5.3,7.3,0.2
5.3,7.2,0.2
5.2,7.2,0.2
5.1,7.0,0.2
5.1,7.0,0.2
5.0,6.9,0.2
4.9,6.7,0.2
4.7,6.4,0.2
4.7,6.4,0.2
4.4,6.1,0.2
4.2,5.7,0.2
3.9,5.4,0.0
3.7,5.2,0.0
3.7,5.1,0.0
3.7,5.1,0.0
3.6,4.9,0.0
3.5,4.8,0.0
3.3,4.6,0.0
3.2,4.4,0.0
3.2,4.4,0.0
3.1,4.3,0.0
2.6,3.6,0.0
2.6,3.5,0.0
2.4,3.3,0.0
2.4,3.3,0.0
2.2,3.0,0.0
2.0,2.8,0.0
1.8,2.5,0.0
1.8,2.4,0.0
1.6,2.2,0.0
1.5,2.1,0.0
1.5,2.0,0.0
0.6,0.9,0.0
