bank,period,equity
ABSA,1,1
ABSA,2,0.753537928
ABSA,3,0.749621833
ABSA,4,0.749542792
ABSA,5,0.749540951
ABSA,6,0.749540907
ABSA,7,0.749540906
African Bank,1,1
African Bank,2,0.988776269
African Bank,3,0.987240394
African Bank,4,0.987203436
African Bank,5,0.987202556
African Bank,6,0.987202535
African Bank,7,0.987202534
BNP,1,1
BNP,2,1
BNP,3,0.980372848
BNP,4,0.979883445
BNP,5,0.979871747
BNP,6,0.979871469
BNP,7,0.979871462
BoC,1,1
BoC,2,0.882428157
BoC,3,0.874755015
BoC,4,0.87460815
BoC,5,0.874604756
BoC,6,0.874604676
BoC,7,0.874604674
CAPITEC,1,1
CAPITEC,2,1
CAPITEC,3,0.999864305
CAPITEC,4,0.999860565
CAPITEC,5,0.999860475
CAPITEC,6,0.999860473
CAPITEC,7,0.999860473
CHARTERED,1,1
CHARTERED,2,0.700591228
CHARTERED,3,0.695582316
CHARTERED,4,0.695469014
CHARTERED,5,0.695466334
CHARTERED,6,0.69546627
CHARTERED,7,0.695466269
CITYBANK,1,1
CITYBANK,2,0.874827333
CITYBANK,3,0.866662042
CITYBANK,4,0.866453709
CITYBANK,5,0.866448713
CITYBANK,6,0.866448594
CITYBANK,7,0.866448592
DB,1,1
DB,2,0.863462633
DB,3,0.859093467
DB,4,0.858995376
DB,5,0.85899306
DB,6,0.858993005
DB,7,0.858993004
FNB,1,1
FNB,2,1
FNB,3,0.99847263
FNB,4,0.998436581
FNB,5,0.998435725
FNB,6,0.998435704
FNB,7,0.998435704
Grindrod,1,1
Grindrod,2,0.949426074
Grindrod,3,0.944183466
Grindrod,4,0.944072509
Grindrod,5,0.944069909
Grindrod,6,0.944069847
Grindrod,7,0.944069846
HSBC,1,1
HSBC,2,0.859743359
HSBC,3,0.854689306
HSBC,4,0.854579237
HSBC,5,0.854576648
HSBC,6,0.854576587
HSBC,7,0.854576585
INVESTEC,1,1
INVESTEC,2,0.974587753
INVESTEC,3,0.957309933
INVESTEC,4,0.956853807
INVESTEC,5,0.956842839
INVESTEC,6,0.956842578
INVESTEC,7,0.956842571
JpM,1,1
JpM,2,0.974587753
JpM,3,0.957309933
JpM,4,0.956853807
JpM,5,0.956842839
JpM,6,0.956842578
JpM,7,0.956842571
NEDBANK,1,1
NEDBANK,2,0.914058995
NEDBANK,3,0.910377161
NEDBANK,4,0.910296242
NEDBANK,5,0.910294337
NEDBANK,6,0.910294291
NEDBANK,7,0.91029429
SBSA,1,1
SBSA,2,0.884071997
SBSA,3,0.878509293
SBSA,4,0.878386291
SBSA,5,0.878383392
SBSA,6,0.878383323
SBSA,7,0.878383321
SOCIETE,1,1
SOCIETE,2,0.825674598
SOCIETE,3,0.822290732
SOCIETE,4,0.822219404
SOCIETE,5,0.822217733
SOCIETE,6,0.822217693
SOCIETE,7,0.822217692
