bank_total_asset_sales,TAS,period
HSBC,0,1
HSBC,0,2
HSBC,0,3
HSBC,0,4
HSBC,0,5
HSBC,0,6
HSBC,0,7
CITYBANK,-1.06871E+11,1
CITYBANK,0,2
CITYBANK,0,3
CITYBANK,0,4
CITYBANK,0,5
CITYBANK,0,6
CITYBANK,0,7
INVESTEC,-1.2398E+11,1
INVESTEC,-22683626558,2
INVESTEC,-6697846531,3
INVESTEC,-1942638939,4
INVESTEC,-557828116.4,5
INVESTEC,-159705313.3,6
INVESTEC,-45684381.42,7
African Bank,0,1
African Bank,0,2
African Bank,0,3
African Bank,0,4
African Bank,0,5
African Bank,0,6
African Bank,0,7
CAPITEC,0,1
CAPITEC,0,2
CAPITEC,0,3
CAPITEC,0,4
CAPITEC,0,5
CAPITEC,0,6
CAPITEC,0,7
NEDBANK,0,1
NEDBANK,0,2
NEDBANK,0,3
NEDBANK,0,4
NEDBANK,0,5
NEDBANK,0,6
NEDBANK,0,7
FNB,0,1
FNB,-74646306731,2
FNB,-22751141905,3
FNB,-6623306300,4
FNB,-1904059636,5
FNB,-545315054.2,6
FNB,-156005056.9,7
ABSA,-5.3766E+11,1
ABSA,-39716564261,2
ABSA,-10940219137,3
ABSA,-3146753624,4
ABSA,-901900199.5,5
ABSA,-258087539.7,6
ABSA,-73817241.78,7
grindrod,0,1
grindrod,0,2
grindrod,0,3
grindrod,0,4
grindrod,0,5
grindrod,0,6
grindrod,0,7
SOCIETE,-4831647560,1
SOCIETE,-298324992.7,2
SOCIETE,-87747816.08,3
SOCIETE,-26009903.1,4
SOCIETE,-7514917.054,5
SOCIETE,-2155069.772,6
SOCIETE,-616749.592,7
BNP,0,1
BNP,-1451979478,2
BNP,-467500634.1,3
BNP,-136997054.1,4
BNP,-39360558.6,5
BNP,-11267327.95,6
BNP,-3222825.69,7
DB,-13344596095,1
DB,-734264903.7,2
DB,-234449536.9,3
DB,-69178519.78,4
DB,-19912931.77,5
DB,-5703223.043,6
DB,-1631545.903,7
BoC,-9280441578,1
BoC,-1448201982,2
BoC,-435743349.8,3
BoC,-128376088.1,4
BoC,-37006602.07,5
BoC,-10606233.61,6
BoC,-3034873.285,7
JpM,-3418480229,1
JpM,-4473453438,2
JpM,-1487436170,3
JpM,-439304845.9,4
JpM,-126472129.6,5
JpM,-36223210.25,6
JpM,-10362539.17,7
CHARTERED,-8109231291,1
CHARTERED,-1185821292,2
CHARTERED,-362007713.1,3
CHARTERED,-107725233,4
CHARTERED,-31140227.72,5
CHARTERED,-8931377.86,6
CHARTERED,-2556129.318,7
SBSA,0,1
SBSA,-1.10294E+11,2
SBSA,-33598098493,3
SBSA,-9731761856,4
SBSA,-2792722273,5
SBSA,-799400187.8,6
SBSA,-228659197.8,7
