period,1,2,3,4,5,6,7,,bank,period,TAS
HSBC,0,-5410356686,-1568128641,-378648457.5,-87325407.65,-19924650.82,-4534839.03,,HSBC,1,0
CITYBANK,-1.28245E+11,11533946442,2480992628,585897806.6,134501350.7,30658398.84,6976298.93,,HSBC,2,-5410356686
INVESTEC,-1.48776E+11,-43455411374,-10984819127,-2554980267,-583910233.8,-132944712.6,-30243273.43,,HSBC,3,-1568128641
African Bank,0,0,0,0,0,0,0,,HSBC,4,-378648457.5
CAPITEC,0,0,0,0,0,0,0,,HSBC,5,-87325407.65
NEDBANK,0,-1.53087E+11,-40131796633,-9321538191,-2129082238,-484675310.5,-110253602.1,,HSBC,6,-19924650.82
FNB,-3.7143E+11,-1.00197E+11,-24957943259,-5858516555,-1342674875,-305906855,-69600814.55,,HSBC,7,-4534839.03
ABSA,-6.45192E+11,-56921600892,-12873643987,-2956053513,-673919112.8,-153353548.9,-34881627.25,,CITYBANK,1,-1.28245E+11
grindrod,0,0,0,0,0,0,0,,CITYBANK,2,11533946442
SOCIETE,-5797977072,-505748290.2,-165099259.3,-40285413.1,-9311930.482,-2125739.681,-483873.6842,,CITYBANK,3,2480992628
BNP,0,-3257064370,-750002163.5,-174489156.5,-39931267.55,-9095821.988,-2069444.948,,CITYBANK,4,585897806.6
DB,-16013515314,-1093908799,-248986494.8,-58549473.06,-13432676.08,-3061618.664,-696663.2897,,CITYBANK,5,134501350.7
BoC,-11136529894,-2847457347,-697257340.3,-167477543.8,-38595528.34,-8804905.84,-2003922.349,,CITYBANK,6,30658398.84
JpM,-4102176274,-9995963541,-2396023796,-562453352.7,-129013491.2,-29403883.33,-6690721.4,,CITYBANK,7,6976298.93
CHARTERED,-9731077549,-2364354682,-625484314.5,-152293606.1,-35222044.25,-8042177.24,-1830698.883,,INVESTEC,1,-1.48776E+11
SBSA,-3.92877E+11,-1.62298E+11,-39299145658,-9115675123,-2083252449,-474329029.5,-107904900,,INVESTEC,2,-43455411374
,,,,,,,,,INVESTEC,3,-10984819127
,,,,,,,,,INVESTEC,4,-2554980267
,,,,,,,,,INVESTEC,5,-583910233.8
,,,,,,,,,INVESTEC,6,-132944712.6
,,,,,,,,,INVESTEC,7,-30243273.43
,,,,,,,,,African Bank,1,0
,,,,,,,,,African Bank,2,0
,,,,,,,,,African Bank,3,0
,,,,,,,,,African Bank,4,0
,,,,,,,,,African Bank,5,0
,,,,,,,,,African Bank,6,0
,,,,,,,,,African Bank,7,0
,,,,,,,,,CAPITEC,1,0
,,,,,,,,,CAPITEC,2,0
,,,,,,,,,CAPITEC,3,0
,,,,,,,,,CAPITEC,4,0
,,,,,,,,,CAPITEC,5,0
,,,,,,,,,CAPITEC,6,0
,,,,,,,,,CAPITEC,7,0
,,,,,,,,,NEDBANK,1,0
,,,,,,,,,NEDBANK,2,-1.53087E+11
,,,,,,,,,NEDBANK,3,-40131796633
,,,,,,,,,NEDBANK,4,-9321538191
,,,,,,,,,NEDBANK,5,-2129082238
,,,,,,,,,NEDBANK,6,-484675310.5
,,,,,,,,,NEDBANK,7,-110253602.1
,,,,,,,,,FNB,1,-3.7143E+11
,,,,,,,,,FNB,2,-1.00197E+11
,,,,,,,,,FNB,3,-24957943259
,,,,,,,,,FNB,4,-5858516555
,,,,,,,,,FNB,5,-1342674875
,,,,,,,,,FNB,6,-305906855
,,,,,,,,,FNB,7,-69600814.55
,,,,,,,,,ABSA,1,-6.45192E+11
,,,,,,,,,ABSA,2,-56921600892
,,,,,,,,,ABSA,3,-12873643987
,,,,,,,,,ABSA,4,-2956053513
,,,,,,,,,ABSA,5,-673919112.8
,,,,,,,,,ABSA,6,-153353548.9
,,,,,,,,,ABSA,7,-34881627.25
,,,,,,,,,Grindrod,1,0
,,,,,,,,,Grindrod,2,0
,,,,,,,,,Grindrod,3,0
,,,,,,,,,Grindrod,4,0
,,,,,,,,,Grindrod,5,0
