,,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock
-0.05,0,0,-0.0,3.451829034e+11,4.39807297093e+12,0.0,1.20933548566e+11,4.74325587433e+12,0.0,0.0,3.451829034e+11,1.0
-0.05,1,1,0.00248183662456,3.451829034e+11,4.38605139784e+12,-856687571.831,1.09244502418e+11,4.7083009536e+12,0.0664382488615,-12021573107.4,3.22249555761e+11,0.933561751138
-0.05,2,2,6.32805633955e-05,3.451829034e+11,4.38574112798e+12,-21843368.6017,1.08605557553e+11,4.70720336248e+12,0.0687191302354,-310269862.082,3.21462234506e+11,0.931280869765
-0.05,3,3,1.72498140089e-06,3.451829034e+11,4.38573265764e+12,-595434.08827,1.08587334865e+11,4.70717463828e+12,0.0687778060027,-8470335.58855,3.21441980635e+11,0.931222193997
-0.05,4,4,4.74125160669e-08,3.451829034e+11,4.38573242479e+12,-16365.9899535,1.08586852231e+11,4.7071738527e+12,0.0687794072304,-232853.803534,3.21441427918e+11,0.93122059277
-0.1,0,0,-0.0,3.451829034e+11,4.39807297093e+12,0.0,1.20933548566e+11,4.74325587433e+12,0.0,0.0,3.451829034e+11,1.0
-0.1,1,1,0.00496367324913,3.451829034e+11,4.37402982474e+12,-1713375143.66,98191118067.9,4.67340625014e+12,0.132702047396,-24043146214.8,2.99376425393e+11,0.867297952604
-0.1,2,2,0.000108249503608,3.451829034e+11,4.3734981484e+12,-37365877.9469,96975411592.1,4.6713102556e+12,0.137233900431,-531676346.499,2.97812107204e+11,0.862766099569
-0.1,3,3,2.54674604101e-06,3.451829034e+11,4.37348561794e+12,-879093.192659,96943685355.7,4.67126326975e+12,0.137333718226,-12530456.1749,2.97777651808e+11,0.862666281774
-0.1,4,4,6.05155341798e-08,3.451829034e+11,4.37348532014e+12,-20888.927789,96942963029.5,4.67126216028e+12,0.137336069616,-297808.368226,2.97776840148e+11,0.862663930384
-0.2,0,0,-0.0,3.451829034e+11,4.39807297093e+12,0.0,1.20933548566e+11,4.74325587433e+12,0.0,0.0,3.451829034e+11,1.0
-0.2,1,1,0.0113555644342,3.451829034e+11,4.34627450193e+12,-3919746701.16,76173587769.8,4.60057149596e+12,0.263297829863,-51798469060.2,2.54296994029e+11,0.736702170137
-0.2,2,2,0.000251543178693,3.451829034e+11,4.34526650469e+12,-86828404.7516,73878921133.2,4.59621734835e+12,0.272991677185,-1007997241.92,2.50950843665e+11,0.727008322815
-0.2,3,3,5.26586241111e-06,3.451829034e+11,4.34524577254e+12,-1817685.67597,73821113478.7,4.59612874162e+12,0.273188310842,-20732152.8228,2.50882969089e+11,0.726811689158
-0.2,4,4,1.09398954324e-07,3.451829034e+11,4.34524534463e+12,-37762.6486824,73819926948.7,4.59612690963e+12,0.273192378491,-427909.619511,2.50881565006e+11,0.726807621509
