,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock
0,0,-0.0,3.451829034e+11,4.39807297093e+12,0.0,1.20933548566e+11,4.74325587433e+12,0.0,0.0,3.451829034e+11,1.0
1,1,0.00397591637364,3.451829034e+11,4.37881434253e+12,-1372418357.53,1.02590302237e+11,4.68728692998e+12,0.10635033077,-19258628421.2,3.08472587447e+11,0.89364966923
2,2,9.25458061256e-05,3.451829034e+11,4.37836013911e+12,-31945230.0559,1.01596694315e+11,4.68557641211e+12,0.109989892377,-454203427.087,3.07216273005e+11,0.890010107623
3,3,2.31423949975e-06,3.451829034e+11,4.37834876251e+12,-798835.909687,1.01569778624e+11,4.68553551479e+12,0.11007541435,-11376595.3196,3.07186752282e+11,0.88992458565
4,4,5.84058405483e-08,3.451829034e+11,4.37834847534e+12,-20160.697616,1.01569126077e+11,4.68553448852e+12,0.110077555526,-287172.380446,3.07186013184e+11,0.889922444474
5,5,1.47561144969e-09,3.451829034e+11,4.37834846808e+12,-509.355844493,1.01569109673e+11,4.68553446261e+12,0.110077609572,-7255.50932967,3.07185994529e+11,0.889922390428
6,6,3.72856586929e-11,3.451829034e+11,4.3783484679e+12,-12.8703719228,1.01569109258e+11,4.68553446196e+12,0.110077610938,-183.332222479,3.07185994057e+11,0.889922389062
7,7,9.42145242216e-13,3.451829034e+11,4.3783484679e+12,-0.325212430133,1.01569109248e+11,4.68553446194e+12,0.110077610972,-4.63249510439,3.07185994045e+11,0.889922389028
8,8,2.38064488632e-14,3.451829034e+11,4.3783484679e+12,-0.00821757913823,1.01569109247e+11,4.68553446194e+12,0.110077610973,-0.117055477824,3.07185994045e+11,0.889922389027
9,9,6.01549623409e-16,3.451829034e+11,4.3783484679e+12,-0.000207644645548,1.01569109247e+11,4.68553446194e+12,0.110077610973,-0.00295779850576,3.07185994045e+11,0.889922389027
