Step,ABSA: total assets,ABSA: total equity ,ABSA: total asset sales,SBSA: total assets,SBSA: total equity,SBSA: total asset sales,CAPITEC: total assets,CAPITEC: total equity,CAPITEC: total asset sales
1,1069.6124999999997,194.47499999999997,-1374.8625000000002,1069.6124999999997,128.3,-143.4,283.3425,62.965,-129.6225
2,734.166901869632,133.48489124902403,-274.45548937939174,734.166901869632,106.49240239732251,-43.61519520535501,218.99777604565418,48.66617245458981,-50.045896408935654
3,683.2161559701161,124.22111926729387,-41.6869739177857,683.2161559701161,102.4846113352023,-8.015582124240417,207.59886000370508,46.13308000082335,-8.865823588182634
4,675.6921531032972,122.85311874605405,-6.156002345579199,675.6921531032972,101.87243413618768,-1.2243543980292457,205.86792315533145,45.748427367851434,-1.346284215401703
5,674.5839773530245,122.65163224600447,-0.9066892502231332,674.5839773530245,101.7818061445434,-0.18125598328855694,205.6118396570293,45.69151992378429,-0.19917605423500723
6,674.4208100179774,122.6219654578141,-0.13350054685666315,674.4208100179774,101.76845199874019,-0.026708291606409765,205.5741082086657,45.68313515748127,-0.029346682060588148
7,674.3967863267198,122.61759751394908,-0.019655747392609193,674.3967863267198,101.76648560204724,-0.003932793385885708,205.56855230559293,45.681900512353984,-0.0043212579454938015
8,674.393249256165,122.61695441021185,-0.0028939668175668185,674.393249256165,101.76619607958551,-0.000579044923453994,205.56773428301287,45.68171872955842,-0.0006362397844891793
9,674.3927284845022,122.61685972445497,-0.0004260859059733654,674.3927284845022,101.76615345237279,-8.525442543975166e-05,205.5676138432484,45.681691965166316,-9.367537235788483e-05
10,674.392651810009,122.61684578363804,-6.273367618363717e-05,674.392651810009,101.76614717626116,-1.2552223274011409e-05,205.56759611059965,45.6816880245777,-1.3792060144952422e-05
