Step,Deposits
1,60.10583180158663
2,101.66877366881496
3,152.02160927171923
4,207.46970768372734
5,264.35225780500514
6,319.6754700510042
7,371.33907395647384
8,418.09901082656904
9,459.405078446312
10,495.20701930896803
11,525.7784006208524
12,551.5773391020468
13,573.1462351318612
14,591.0450689681938
15,605.8105357939652
16,617.9336238622218
17,627.8495689593694
18,635.9356293901665
19,642.5134635408176
20,647.8539467813221
21,652.1830394512795
22,655.6878594450905
23,658.522476539483
24,660.8131812308213
25,662.6631272221937
26,664.1563336903414
27,665.3610818643706
28,666.3327641058672
29,667.1162528659975
30,667.747857167628
31,668.2569300227378
32,668.667183659883
33,668.9977622483844
34,669.2641146182245
35,669.4787028199114
36,669.6515765069228
37,669.790837932147
38,669.903018016073
39,669.9933802559144
40,670.0661661388151
41,670.1247932467893
42,670.1720150552705
43,670.2100498471851
44,670.2406846300499
45,670.2653589296978
46,670.2852323130307
47,670.3012388147247
48,670.3141307776121
49,670.3245141852522
50,670.3328771403869
