Step,Deposits
1,180.30892746411755
2,304.82211683784215
3,455.780043338977
4,622.0665672478876
5,792.8781228138729
6,959.2062146918611
7,1114.687074226937
8,1254.6322651786065
9,1378.5724685387613
10,1486.855906372618
11,1579.286982389398
12,1657.3972130480313
13,1722.8184597085342
14,1776.8611244069564
15,1821.6771404119968
16,1858.280070682821
17,1888.0519417101732
18,1911.2513117589483
19,1931.3227765303855
20,1947.2978471591396
21,1960.474361498454
22,1971.1906721546227
23,1980.123199984228
24,1986.1813965452545
25,1991.023015172822
26,1995.881519488469
27,1999.9031418708028
28,2002.99835013759
29,2005.4622167307125
30,2007.9291140994656
31,2009.6102920946337
32,2011.2928776890215
33,2011.7119092972848
34,2011.7958832315812
35,2012.4989615808008
36,2013.2022856404183
37,2013.9058554963026
38,2014.6096712343547
39,2015.3137329405051
40,2015.5731926672665
41,2015.6251883965094
42,2015.6356083406504
43,2015.6376964974563
44,2015.63811496408
45,2015.638198824791
46,2015.6382156304778
47,2015.6382189983374
48,2015.6382196732566
49,2015.6382198085103
50,2015.6382198356148
